Analysis_Date,Sector,Total_Tickers,Average_Total_Score,Average_Confidence,Top_Ticker,Top_Score,LONG_Signals,SHORT_Signals,NEUTRAL_Signals
2025-12-28,Health Care,917,0.3412269296530904,0.5460307659491793,UPC,0.6170501764927188,357,287,273
2025-12-28,Financials,589,0.3205988910145719,0.5006373112452168,ASPC,0.6199833811800708,191,128,270
2025-12-28,Industrials,389,0.3413894310335951,0.5488015486386886,MAGH,0.6311707370360362,160,126,103
2025-12-28,Technology,371,0.32620108434318973,0.5156547710913463,GSIT,0.6150582389005549,141,95,135
2025-12-28,Consumer Discretionary,332,0.34161921355026315,0.5440466815119476,RAY,0.71624266832486,136,92,104
2025-12-28,Communication Services,146,0.3381203708298591,0.5347316452168237,DKI,0.666,58,38,50
2025-12-28,Materials,120,0.33618755491123387,0.5377679355874767,INHD,0.5669921172760023,33,42,45
2025-12-28,Real Estate,69,0.32286268055994316,0.52225726253107,UHG,0.6224991783853915,22,20,27
2025-12-28,Consumer Staples,60,0.3265785789524593,0.5248741604082753,JVA,0.5313410579897737,17,23,20
2025-12-28,Energy,57,0.33658407716907734,0.5439922906926669,DLXY,0.5810483830948641,12,22,23
2025-12-28,Utilities,42,0.30602863864873864,0.4848028171172456,COKE,0.5117206522574732,10,14,18
2025-12-28,Other,30,0.2778087201442521,0.4768696002060742,BTTC,0.45107325619358896,13,12,5
2025-12-28,utilities,6,0.387049268819555,0.669594193551745,SUUN,0.4993444383068206,3,2,1
